gene,wilcox_pval_culture,wilcox_bonferroni_pval_culture,log2FC_culture_microglial_vs_not,fraction_expressed_culture_microglial,fraction_expressed_culture,wilcox_pval_acute,wilcox_bonferroni_pval_acute,log2FC_acute_microglial_vs_not,fraction_expressed_acute_microglial,fraction_expressed_acute,used_for_defining_microglial_signature,commom_acute_and_culture_microglial_gene
C1QC,8.40E-81,4.22E-76,6.95532898,0.994,0.177,4.26E-27,2.14E-22,3.457030693,0.927,0.463,TRUE,TRUE
SYNGR2,9.05E-80,4.55E-75,6.097444966,0.989,0.167,2.05E-17,1.03E-12,1.230347312,0.718,0.223,TRUE,TRUE
SRGN,2.15E-79,1.08E-74,7.966812693,0.994,0.24,2.94E-32,1.48E-27,3.343061968,1,0.553,TRUE,TRUE
CD53,2.78E-79,1.40E-74,6.328163899,0.966,0.122,3.94E-28,1.98E-23,3.315384874,0.863,0.293,TRUE,TRUE
CLEC7A,3.46E-79,1.74E-74,6.638435969,0.933,0.056,2.41E-23,1.21E-18,2.648698223,0.806,0.255,FALSE,TRUE
CCRL2,1.58E-78,7.95E-74,8.117678735,0.91,0.038,5.38E-17,2.70E-12,3.178213759,0.508,0.085,TRUE,TRUE
LILRB4,1.72E-78,8.67E-74,7.575979366,0.989,0.222,1.10E-28,5.55E-24,2.863838224,0.895,0.33,TRUE,TRUE
CCL3,2.87E-78,1.44E-73,8.010582983,0.989,0.194,5.65E-26,2.84E-21,2.359696706,0.992,0.787,TRUE,TRUE
MS4A7,9.51E-78,4.78E-73,6.440728521,0.989,0.229,1.41E-31,7.11E-27,3.412822124,0.879,0.239,TRUE,TRUE
OLR1,1.52E-77,7.66E-73,7.678364703,0.949,0.118,3.51E-26,1.77E-21,3.514270622,0.944,0.468,TRUE,TRUE
CXCL8,2.32E-77,1.17E-72,8.577973971,0.983,0.184,7.92E-20,3.98E-15,2.248015865,0.863,0.452,TRUE,TRUE
CXCL16,2.70E-77,1.36E-72,5.913153573,1,0.257,3.73E-25,1.87E-20,2.487208508,0.863,0.34,TRUE,TRUE
CYBA,1.95E-76,9.82E-72,6.206004399,0.994,0.264,3.66E-26,1.84E-21,1.823954886,0.976,0.606,TRUE,TRUE
CCL4,8.46E-76,4.25E-71,8.219430447,0.955,0.142,1.19E-26,6.00E-22,2.568679575,0.984,0.777,TRUE,TRUE
TMEM176B,1.77E-75,8.88E-71,6.277169444,0.961,0.149,6.54E-16,3.29E-11,2.565515189,0.661,0.229,TRUE,TRUE
SLC15A3,2.34E-75,1.18E-70,4.489916205,0.927,0.087,1.84E-18,9.26E-14,2.012975959,0.702,0.202,TRUE,FALSE
LAPTM5,8.31E-75,4.18E-70,6.607152492,1,0.455,1.15E-29,5.77E-25,2.550778678,0.992,0.713,TRUE,TRUE
CLIC1,1.12E-74,5.65E-70,4.469462016,1,0.302,6.08E-24,3.06E-19,2.023225888,0.887,0.399,TRUE,TRUE
CCR1,1.69E-74,8.48E-70,7.21391454,0.888,0.056,2.63E-20,1.32E-15,4.991134757,0.556,0.085,TRUE,TRUE
TNF,3.19E-74,1.60E-69,10.62180771,0.876,0.038,2.49E-24,1.25E-19,3.413840587,0.863,0.34,TRUE,TRUE
MS4A4A,4.94E-74,2.48E-69,5.200678892,0.955,0.146,4.20E-16,2.11E-11,2.157460098,0.452,0.064,TRUE,TRUE
CD14,8.83E-74,4.44E-69,7.181051844,0.989,0.316,1.77E-14,8.88E-10,3.845768202,0.613,0.234,TRUE,TRUE
C1QB,9.76E-74,4.91E-69,6.658584787,0.989,0.299,8.46E-27,4.25E-22,3.067296935,0.984,0.676,TRUE,TRUE
FCGR3A,1.74E-73,8.74E-69,7.212116011,0.916,0.097,2.26E-20,1.14E-15,2.55603816,0.71,0.186,TRUE,TRUE
UNC93B1,2.35E-73,1.18E-68,5.734380837,0.921,0.094,5.06E-16,2.54E-11,2.117514719,0.605,0.17,TRUE,TRUE
TYROBP,2.75E-73,1.38E-68,5.172290315,1,0.337,1.21E-28,6.10E-24,2.400940924,0.992,0.697,TRUE,TRUE
GM2A,7.66E-73,3.85E-68,4.964910464,0.983,0.236,8.91E-16,4.48E-11,1.539761033,0.677,0.229,TRUE,FALSE
FCER1G,7.74E-73,3.89E-68,5.594587279,0.994,0.351,4.57E-23,2.30E-18,2.595033631,0.927,0.559,TRUE,TRUE
PLEK,1.12E-72,5.63E-68,6.19465221,0.966,0.194,7.92E-27,3.98E-22,3.485436993,0.887,0.335,TRUE,TRUE
CD83,1.13E-72,5.69E-68,6.784251588,0.989,0.351,1.06E-27,5.31E-23,4.531755111,0.919,0.58,TRUE,TRUE
IFI30,1.54E-72,7.73E-68,6.304157554,1,0.5,1.89E-18,9.52E-14,2.341534798,0.798,0.367,TRUE,TRUE
FCGRT,2.13E-72,1.07E-67,5.781531736,0.989,0.372,4.57E-25,2.30E-20,2.76405579,0.919,0.463,TRUE,TRUE
FXYD5,2.14E-72,1.08E-67,4.044914696,0.916,0.09,1.13E-22,5.69E-18,1.720827866,0.774,0.218,TRUE,TRUE
SLC11A1,2.68E-72,1.35E-67,5.789054045,0.978,0.288,2.19E-14,1.10E-09,2.964274617,0.637,0.239,TRUE,TRUE
HLA-DRB1,5.55E-72,2.79E-67,6.568340951,0.938,0.125,5.53E-28,2.78E-23,2.779794047,0.952,0.537,TRUE,TRUE
ITGB2,6.90E-72,3.47E-67,6.690229815,0.955,0.215,5.44E-28,2.74E-23,2.304216742,0.935,0.351,TRUE,TRUE
CTSB,7.50E-72,3.77E-67,6.10498583,1,0.983,5.34E-25,2.68E-20,2.482905279,1,0.963,TRUE,TRUE
VSIG4,1.22E-71,6.12E-67,7.324114853,0.916,0.115,7.71E-25,3.88E-20,3.780973179,0.71,0.149,TRUE,TRUE
S100A11,1.41E-71,7.07E-67,4.453554152,1,0.476,1.79E-29,9.01E-25,2.370234681,0.992,0.638,TRUE,TRUE
APOC1,1.74E-71,8.77E-67,5.637797254,1,0.448,2.08E-15,1.05E-10,1.814022695,0.895,0.516,TRUE,TRUE
VAMP8,2.19E-71,1.10E-66,3.663119057,0.994,0.233,7.34E-21,3.69E-16,2.717714454,0.758,0.245,FALSE,TRUE
NPC2,3.10E-71,1.56E-66,5.181808376,1,0.528,1.65E-22,8.28E-18,2.87886173,0.887,0.431,TRUE,TRUE
AIF1,3.38E-71,1.70E-66,4.227348847,0.989,0.212,8.67E-27,4.36E-22,2.239435692,0.976,0.761,TRUE,TRUE
TGFBI,3.71E-71,1.86E-66,6.708367229,0.938,0.174,0.000392838,1,4.850439602,0.177,0.059,TRUE,FALSE
CTSD,5.66E-71,2.85E-66,5.919940339,1,0.903,1.98E-08,0.000994112,0.886919088,0.911,0.761,TRUE,FALSE
IRF8,1.09E-70,5.48E-66,5.368974525,0.955,0.194,8.56E-27,4.30E-22,2.853287174,0.839,0.239,TRUE,TRUE
GPNMB,1.46E-70,7.35E-66,5.354443139,0.989,0.361,0.000572499,1,1.058303857,0.282,0.138,TRUE,TRUE
CEBPB,3.91E-70,1.97E-65,5.308000055,1,0.469,2.90E-15,1.46E-10,2.348744483,0.879,0.59,TRUE,TRUE
APOE,4.81E-70,2.42E-65,6.047296836,1,0.611,1.94E-20,9.75E-16,2.022095516,0.96,0.793,TRUE,FALSE
CD86,5.33E-70,2.68E-65,6.380912103,0.944,0.219,5.17E-25,2.60E-20,3.463261862,0.758,0.218,TRUE,TRUE
ICAM1,6.13E-70,3.08E-65,5.230514053,0.921,0.115,9.03E-23,4.54E-18,5.392378951,0.645,0.133,TRUE,TRUE
TYMP,7.49E-70,3.76E-65,5.242916974,0.994,0.396,5.64E-12,2.83E-07,3.36422769,0.661,0.314,TRUE,TRUE
LGALS9,8.09E-70,4.07E-65,4.421729548,0.961,0.208,3.30E-21,1.66E-16,1.646768254,0.774,0.261,TRUE,TRUE
CAPG,9.66E-70,4.86E-65,4.817421512,1,0.472,2.97E-21,1.49E-16,2.037041833,0.935,0.431,TRUE,FALSE
CD68,1.01E-69,5.08E-65,4.897048463,0.994,0.434,1.97E-24,9.92E-20,2.762478678,0.879,0.484,TRUE,TRUE
MGAT1,1.04E-69,5.22E-65,5.263844964,0.983,0.424,6.80E-13,3.42E-08,2.302815159,0.734,0.41,TRUE,TRUE
C10orf54,1.73E-69,8.70E-65,6.350010341,0.882,0.08,1.79E-23,9.01E-19,3.18679678,0.798,0.255,TRUE,TRUE
LILRB3,1.96E-69,9.85E-65,4.655417435,0.888,0.083,0.023168011,1,2.899469283,0.177,0.096,TRUE,FALSE
CD74,2.42E-69,1.22E-64,7.132643293,0.972,0.274,8.01E-31,4.03E-26,2.41196981,0.992,0.809,TRUE,TRUE
IER3,2.74E-69,1.38E-64,6.223662792,0.983,0.326,2.86E-22,1.44E-17,4.073369329,0.871,0.457,TRUE,TRUE
TMEM176A,5.99E-69,3.01E-64,4.892243569,0.921,0.122,2.78E-13,1.40E-08,1.521421116,0.524,0.128,TRUE,TRUE
RGS1,6.67E-69,3.35E-64,8.191953503,0.882,0.094,1.98E-33,9.96E-29,5.102891104,0.919,0.33,TRUE,TRUE
TREM2,8.29E-69,4.17E-64,5.78712069,0.899,0.101,3.46E-21,1.74E-16,3.21488076,0.79,0.287,TRUE,TRUE
SPP1,1.18E-68,5.96E-64,7.087715892,1,0.552,7.26E-29,3.65E-24,4.75873401,0.96,0.601,TRUE,TRUE
PSAP,1.21E-68,6.08E-64,4.857074256,1,0.976,4.60E-11,2.31E-06,1.213968995,0.984,0.963,TRUE,FALSE
LST1,1.39E-68,6.97E-64,3.75110637,0.921,0.094,1.12E-22,5.61E-18,2.076193181,0.895,0.436,FALSE,TRUE
LCP1,2.31E-68,1.16E-63,4.913430205,0.989,0.333,1.15E-24,5.77E-20,3.302516524,0.798,0.277,TRUE,TRUE
CD99,2.82E-68,1.42E-63,3.667637482,0.972,0.198,2.03E-20,1.02E-15,1.691951375,0.927,0.543,FALSE,TRUE
LAIR1,3.16E-68,1.59E-63,6.66285875,0.921,0.191,2.28E-16,1.15E-11,3.268615578,0.605,0.197,TRUE,TRUE
NINJ1,6.22E-68,3.13E-63,5.096243753,0.994,0.552,6.36E-24,3.20E-19,2.688474895,0.984,0.676,TRUE,TRUE
VMO1,6.84E-68,3.44E-63,6.264117436,0.882,0.09,2.52E-09,0.000126955,2.774896738,0.274,0.037,TRUE,TRUE
RAB32,7.23E-68,3.63E-63,3.643524293,0.972,0.219,1.47E-19,7.37E-15,2.107056377,0.661,0.154,FALSE,TRUE
HLA-DRB5,9.18E-68,4.62E-63,6.112222944,0.921,0.135,2.39E-29,1.20E-24,2.670360483,0.968,0.505,TRUE,TRUE
ARPC1B,1.53E-67,7.71E-63,4.255276773,1,0.545,5.67E-22,2.85E-17,2.698899982,0.952,0.617,FALSE,TRUE
PLIN2,1.58E-67,7.96E-63,5.525617136,0.994,0.465,5.24E-24,2.63E-19,4.046893107,0.734,0.191,TRUE,TRUE
ENG,1.77E-67,8.89E-63,5.874146453,0.978,0.479,2.51E-11,1.26E-06,2.0094923,0.694,0.399,TRUE,TRUE
HAVCR2,1.99E-67,9.99E-63,6.329561672,0.966,0.378,1.78E-33,8.95E-29,2.768157813,0.927,0.383,TRUE,TRUE
DUSP23,2.05E-67,1.03E-62,3.45797369,0.933,0.122,4.44E-12,2.23E-07,2.960584575,0.54,0.16,FALSE,TRUE
CD163,2.29E-67,1.15E-62,6.059779401,0.921,0.188,0.012215138,1,2.043730689,0.169,0.08,TRUE,FALSE
FTL,6.63E-67,3.33E-62,3.800948936,1,0.99,3.08E-25,1.55E-20,2.13966646,0.992,0.979,FALSE,TRUE
STXBP2,7.20E-67,3.62E-62,3.560854032,0.972,0.233,6.96E-18,3.50E-13,2.925602493,0.661,0.207,FALSE,TRUE
ADAM28,1.12E-66,5.61E-62,5.060548,0.831,0.049,1.25E-19,6.30E-15,2.272314214,0.669,0.16,TRUE,TRUE
SLC43A3,1.23E-66,6.21E-62,5.409091121,0.927,0.191,2.10E-14,1.06E-09,2.561668852,0.532,0.149,TRUE,TRUE
UCP2,1.26E-66,6.34E-62,3.839840615,0.994,0.278,8.31E-25,4.18E-20,2.973074159,0.855,0.255,FALSE,TRUE
ZFP36L1,1.32E-66,6.62E-62,4.920826894,0.961,0.184,6.78E-30,3.41E-25,4.123493477,0.887,0.271,TRUE,TRUE
MYL12A,1.41E-66,7.11E-62,3.656126765,1,0.417,2.14E-16,1.08E-11,2.060463825,0.839,0.457,FALSE,TRUE
PYCARD,1.73E-66,8.69E-62,4.063213487,0.904,0.101,5.78E-12,2.91E-07,1.901097979,0.718,0.346,FALSE,TRUE
FCGR1A,2.04E-66,1.03E-61,6.5647409,0.798,0.028,1.94E-21,9.77E-17,1.502152483,0.75,0.213,TRUE,TRUE
OTUD1,2.37E-66,1.19E-61,5.695816948,0.949,0.208,7.62E-18,3.83E-13,3.956479405,0.774,0.367,TRUE,TRUE
FTLP3,2.72E-66,1.37E-61,3.936497956,1,0.875,3.89E-26,1.96E-21,2.428588932,0.984,0.867,FALSE,TRUE
HLA-E,2.75E-66,1.38E-61,4.054002673,0.994,0.708,2.75E-30,1.38E-25,2.502373362,0.968,0.67,FALSE,TRUE
RHOG,2.82E-66,1.42E-61,3.901168098,0.983,0.299,6.78E-22,3.41E-17,2.701097544,0.823,0.34,FALSE,TRUE
CTSL,2.94E-66,1.48E-61,4.787954092,1,0.896,2.73E-08,0.001372199,2.96609879,0.863,0.723,TRUE,FALSE
LITAF,4.19E-66,2.11E-61,4.678554758,1,0.701,5.74E-21,2.88E-16,3.026436338,0.839,0.521,TRUE,TRUE
CD84,4.81E-66,2.42E-61,8.983762556,0.815,0.052,8.16E-27,4.10E-22,4.708720895,0.661,0.101,TRUE,TRUE
PTPN6,5.14E-66,2.59E-61,5.217039568,0.933,0.219,6.96E-10,3.50E-05,2.730770468,0.677,0.399,TRUE,TRUE
ASAH1,6.56E-66,3.30E-61,4.494274142,0.994,0.854,0.00037978,1,0.701373408,0.927,0.872,TRUE,FALSE
NCF4,9.65E-66,4.85E-61,4.888749585,0.871,0.087,3.49E-15,1.75E-10,2.53820337,0.5,0.096,TRUE,TRUE
CMTM3,1.40E-65,7.05E-61,5.306704448,0.837,0.056,4.61E-16,2.32E-11,2.920470347,0.548,0.138,FALSE,TRUE
CYBB,1.47E-65,7.40E-61,6.390794159,0.876,0.108,2.37E-22,1.19E-17,1.821978342,0.75,0.213,TRUE,TRUE
HIF1A,1.83E-65,9.18E-61,4.531236786,1,0.736,4.18E-08,0.002103298,2.586111807,0.823,0.681,TRUE,FALSE
ZFP36,1.91E-65,9.60E-61,6.197500553,0.876,0.108,7.78E-24,3.91E-19,3.496947008,0.879,0.33,TRUE,TRUE
CTSS,2.10E-65,1.06E-60,4.882530246,0.994,0.622,1.02E-11,5.12E-07,1.991187167,0.847,0.559,TRUE,FALSE
LYN,2.15E-65,1.08E-60,4.583619644,0.989,0.618,1.05E-27,5.28E-23,3.878718074,0.935,0.628,TRUE,TRUE
CD37,2.36E-65,1.19E-60,5.686854007,0.815,0.049,5.51E-20,2.77E-15,2.977072397,0.718,0.239,TRUE,TRUE
GRN,3.78E-65,1.90E-60,4.981988167,0.989,0.59,4.39E-07,0.022085015,1.032602631,0.782,0.521,TRUE,FALSE
B2M,5.33E-65,2.68E-60,3.290544874,1,0.976,1.97E-25,9.90E-21,2.464220283,0.976,0.92,FALSE,TRUE
C3AR1,5.74E-65,2.88E-60,7.326649153,0.888,0.17,1.75E-20,8.78E-16,3.327433439,0.734,0.255,TRUE,TRUE
LOC101928228,6.61E-65,3.32E-60,4.790048244,0.871,0.083,1.30E-21,6.52E-17,3.412663362,0.758,0.239,FALSE,TRUE
HLA-DMA,1.10E-64,5.54E-60,5.67475281,0.888,0.132,3.79E-22,1.91E-17,2.323742278,0.831,0.277,TRUE,TRUE
SQRDL,1.59E-64,7.99E-60,3.273599344,0.978,0.385,4.15E-11,2.09E-06,2.62447673,0.621,0.324,FALSE,TRUE
ANXA5,1.76E-64,8.84E-60,3.794522865,1,0.656,9.44E-20,4.74E-15,2.517824149,0.944,0.617,FALSE,TRUE
ALOX5AP,2.79E-64,1.40E-59,5.769921038,0.966,0.382,2.39E-24,1.20E-19,2.150186458,0.927,0.468,TRUE,TRUE
GPR183,3.21E-64,1.61E-59,5.704303182,0.82,0.062,1.23E-24,6.18E-20,3.936856336,0.71,0.165,TRUE,TRUE
TSPO,3.32E-64,1.67E-59,3.770817096,0.978,0.288,7.49E-21,3.77E-16,2.561795388,0.847,0.362,FALSE,TRUE
FTLP2,3.56E-64,1.79E-59,3.712857542,0.994,0.545,1.80E-16,9.07E-12,1.960992138,0.847,0.543,FALSE,TRUE
PNRC1,4.21E-64,2.12E-59,4.773919093,0.989,0.486,8.82E-18,4.44E-13,1.95059589,0.968,0.894,TRUE,TRUE
CD300A,5.08E-64,2.55E-59,6.185824223,0.876,0.139,2.73E-21,1.37E-16,3.519921285,0.637,0.128,TRUE,TRUE
OGFRL1,6.92E-64,3.48E-59,4.861494382,1,0.66,1.13E-18,5.69E-14,2.48349496,0.952,0.723,TRUE,TRUE
CDKN1A,7.20E-64,3.62E-59,3.751868899,1,0.601,2.89E-18,1.45E-13,2.376595847,0.911,0.543,FALSE,TRUE
PLA2G7,7.64E-64,3.84E-59,4.884145887,0.938,0.229,7.06E-07,0.035500174,1.277834708,0.379,0.138,TRUE,FALSE
MYO1G,8.62E-64,4.33E-59,5.919931325,0.787,0.031,0.003878477,1,1.432408406,0.073,0.011,TRUE,FALSE
C1QA,8.80E-64,4.43E-59,6.908048399,0.876,0.132,1.59E-25,7.97E-21,2.797534673,0.976,0.601,TRUE,TRUE
GPX1,1.02E-63,5.12E-59,3.775627273,1,0.802,3.47E-26,1.74E-21,2.304832441,0.976,0.883,FALSE,TRUE
TMC6,1.25E-63,6.30E-59,5.635848691,0.871,0.125,2.45E-06,0.1230908,2.998797023,0.379,0.165,TRUE,TRUE
EVI2B,1.41E-63,7.08E-59,3.00686555,0.921,0.132,1.05E-10,5.26E-06,2.019432813,0.573,0.234,FALSE,TRUE
CTSC,3.81E-63,1.92E-58,4.454050686,0.983,0.372,2.12E-17,1.07E-12,1.470704635,0.71,0.239,TRUE,TRUE
BCL2A1,4.01E-63,2.02E-58,6.463976646,0.893,0.167,1.37E-20,6.90E-16,2.396588108,0.879,0.5,TRUE,TRUE
HCLS1,4.24E-63,2.13E-58,3.771532784,0.978,0.319,5.76E-20,2.89E-15,2.474260697,0.855,0.436,FALSE,TRUE
LILRB1,4.41E-63,2.22E-58,5.015354318,0.871,0.115,8.81E-12,4.43E-07,3.629375277,0.395,0.085,TRUE,TRUE
S100A9,4.90E-63,2.47E-58,4.674716166,0.955,0.25,0.000235505,1,3.918162591,0.202,0.069,TRUE,FALSE
KCTD12,4.91E-63,2.47E-58,5.586007874,0.871,0.115,6.63E-21,3.33E-16,1.594935042,0.823,0.277,FALSE,TRUE
TNFRSF14,5.75E-63,2.89E-58,4.723807047,0.837,0.066,0.000857469,1,0.731845403,0.194,0.069,TRUE,FALSE
CREG1,6.59E-63,3.31E-58,4.256576728,0.983,0.535,1.94E-10,9.73E-06,1.816895906,0.871,0.697,TRUE,TRUE
ALOX5,7.24E-63,3.64E-58,4.31014579,0.955,0.351,1.14E-18,5.74E-14,2.895023374,0.782,0.378,TRUE,TRUE
ARHGDIB,7.69E-63,3.87E-58,3.563726869,0.91,0.142,1.54E-26,7.76E-22,2.684160045,0.952,0.473,FALSE,TRUE
LRRC25,8.38E-63,4.21E-58,5.373777348,0.86,0.111,1.10E-05,0.553973011,0.400267668,0.226,0.059,TRUE,TRUE
HLA-DRA,1.54E-62,7.74E-58,6.292293334,0.837,0.083,3.28E-31,1.65E-26,3.562784424,0.96,0.59,TRUE,TRUE
LHFPL2,3.06E-62,1.54E-57,4.349639588,1,0.719,1.94E-17,9.74E-13,2.662763355,0.935,0.702,TRUE,TRUE
PIK3R5,3.48E-62,1.75E-57,5.059171293,0.938,0.33,3.83E-24,1.93E-19,6.072719125,0.758,0.309,TRUE,TRUE
STX11,3.62E-62,1.82E-57,5.859735855,0.91,0.226,1.33E-18,6.69E-14,1.870947219,0.621,0.154,TRUE,TRUE
CD9,4.73E-62,2.38E-57,4.943966698,0.927,0.281,3.86E-08,0.00194154,3.23275288,0.379,0.133,TRUE,TRUE
PIK3AP1,5.06E-62,2.55E-57,3.671680606,0.983,0.507,2.03E-20,1.02E-15,1.829422947,0.798,0.415,FALSE,TRUE
TNFRSF1B,6.06E-62,3.05E-57,4.592027725,0.91,0.222,2.24E-26,1.12E-21,4.662322608,0.734,0.181,TRUE,TRUE
HLA-B,6.52E-62,3.28E-57,3.434850901,1,0.865,3.70E-29,1.86E-24,3.226689773,0.968,0.697,FALSE,TRUE
LRP10,1.03E-61,5.18E-57,3.990570871,0.904,0.181,1.05E-10,5.30E-06,1.326370399,0.524,0.165,TRUE,FALSE
GNG5,1.63E-61,8.20E-57,3.093358067,0.994,0.479,7.69E-25,3.87E-20,2.087364651,0.952,0.484,FALSE,TRUE
SOD2,1.84E-61,9.25E-57,4.914917611,1,0.743,4.37E-18,2.20E-13,2.105856229,0.935,0.702,TRUE,TRUE
GMFG,2.16E-61,1.09E-56,3.456528908,0.955,0.243,1.28E-21,6.42E-17,2.392099528,0.839,0.319,FALSE,TRUE
